id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; 
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка
0152 ; FtrLawnmower ; lawn mower ; しばかりき ; 割草機 ; 割草机 ; 잔디 깎기 ; tondeuse à gazon ; Rasenmäher ; cortacésped ; tagliaerba ; grasmaaier ; газонокосилка
017F ; FtrAcorsticguitar ; acoustic guitar ; アコースティックギター ; 木吉他 ; 木吉他 ; 어쿠스틱기타 ; guitare acoustique ; Akustikgitarre ; guitarra acústica ; chitarra acustica ; akoestische gitaar ; акустическая гитара
0212 ; FtrHariboteGrass ; grass standee ; ハリボテのくさ ; 草叢道具 ; 草丛道具 ; 연극용 잔디 ; herbe en carton ; Pappgras ; hierba de atrezo ; sagoma di erba ; decoratiegras ; бутафорская трава
0213 ; FtrHariboteHedge ; hedge standee ; ハリボテのいけがき ; 樹叢道具 ; 树丛道具 ; 연극용 산울타리 ; buisson en carton ; Pappbusch ; seto de atrezo ; sagoma di cespuglio ; decoratieheg ; бутафорский куст
0214 ; FtrHariboteMountain ; mountain standee ; ハリボテのやま ; 假山道具 ; 假山道具 ; 연극용 산 ; colline en carton ; Papphügel ; montaña de atrezo ; sagoma di collina ; decoratieberg ; бутафорские горы
0215 ; FtrHariboteTree ; tree standee ; ハリボテのき ; 假樹道具 ; 假树道具 ; 연극용 나무 ; arbre en carton ; Pappbaum ; árbol de atrezo ; sagoma di albero ; decoratieboom ; бутафорское дерево
0222 ; FtrStadiometer ; stadiometer ; しんちょうけい ; 身高尺 ; 身高尺 ; 신장 측정기 ; toise ; Stadiometer ; estadiómetro ; misuratore di altezza ; meter ; ростомер
0298 ; FtrBeachbed ; beach chair ; ビーチベッド ; 沙灘躺椅 ; 沙滩躺椅 ; 선베드 ; transat ; Sonnenstuhl ; silla de playa ; sedia a sdraio ; strandstoel ; шезлонг
029B ; FtrIcemachine ; shaved-ice maker ; かきごおりき ; 刨冰機 ; 刨冰机 ; 팥빙수 기계 ; râpe-glace ; Eismaschine ; picadora de hielo ; tritaghiaccio ; ijsschaafmachine ; прибор для строган. льда
029D ; FtrUkulele ; ukulele ; ウクレレ ; 烏克麗麗 ; 乌克丽丽 ; 우쿨렐레 ; ukulélé ; Ukulele ; ukelele ; ukulele ; ukulele ; укулеле
02A4 ; FtrStonelantern ; tall lantern ; とうろう ; 石燈籠 ; 石灯笼 ; 석등 ; lanterne haute ; Mega-Laterne ; farol alto ; lanterna alta ; hoge lantaarn ; высокий фонарь
02A5 ; FtrShishiodoshi ; deer scare ; ししおどし ; 竹流水造景 ; 竹流水造景 ; 대나무 분수 ; jeu d'eau ; Wasserspiel ; fuente de bambú ; fontana di bambù ; waterspeelgoed ; фонтан из бамбука
02AA ; FtrBoomerang ; boomerang ; ブーメラン ; 迴力鏢 ; 飞旋镖 ; 부메랑 ; boomerang ; Bumerang ; bumerán ; boomerang ; boemerang ; бумеранг
02AB ; FtrBottleship ; bottled ship ; ボトルシップ ; 瓶中船 ; 瓶中船 ; 보틀쉽 ; bateau bouteille ; Flaschenschiff ; barco en botella ; modellino di nave ; flessenscheepje ; корабль в бутылке
02AD ; FtrDalecarlianhorse ; Dala horse ; ダーラヘスト ; 達拉木馬 ; 达拉木马 ; 달라헤스트 ; cheval de Dala ; Dalapferd ; caballo de Dalecarlia ; cavallo Dala ; Dalapaard ; даларнская лошадка
02B0 ; FtrGojyu ; pagoda ; ごじゅうのとう ; 五重塔 ; 五重塔 ; 5층탑 ; pagode ; Pagode ; pagoda ; pagoda ; pagode ; пагода
02B2 ; FtrHuladoll ; hula doll ; フラダンスにんぎょう ; 草裙舞娃娃 ; 草裙舞娃娃 ; 훌라 댄스 인형 ; poupée hawaïenne ; Hula-Puppe ; muñeca hawaiana ; bambola hawaiana ; hula-pop ; гавайская кукла
02C0 ; FtrTapestry ; tapestry ; タペストリー ; 壁毯 ; 壁毯 ; 태피스트리 ; tapisserie ; Wandteppich ; tapiz ; arazzo ; wandtapijt ; гобелен
02C6 ; FtrBambooChairL ; bamboo bench ; たけのベンチ ; 竹長椅 ; 竹长凳 ; 대나무 벤치 ; banc en bambou ; Bambusbank ; banco de bambú ; panca di bambù ; bamboebank ; лавка из бамбука
02CC ; FtrScreenByoubu ; screen ; びょうぶ ; 屏風 ; 屏风 ; 병풍 ; paravent ; Paravent ; biombo ; paravento ; kamerscherm ; ширма
02D5 ; FtrLampJapan ; paper lantern ; あんどん ; 方形紙罩座燈 ; 方形纸罩座灯 ; 사방등 ; lampion ; Papierlaterne ; farolillo ; lanterna di carta ; papieren lantaarn ; бумажный фонарь
02E3 ; FtrDiningtableJapan ; tea table ; ちゃぶだい ; 茶几 ; 茶几 ; 낮은 밥상 ; table à thé ; Teetischchen ; mesita ; tavolo da tè ; theetafel ; чайный стол
02E6 ; FtrFireplace ; fireplace ; だんろ ; 壁爐 ; 壁炉 ; 난로 ; cheminée ; Kamin ; chimenea ; caminetto ; open haard ; камин
0313 ; FtrRadicase ; tape deck ; ラジカセ ; 卡帶收音機 ; 磁带录音机 ; 카세트라디오 ; cassettophone ; Radiorekorder ; radiocasete ; radio ; cassettespeler ; магнитофон
031C ; FtrStereoRetro ; retro stereo ; レトロなステレオ ; 復古立體音響 ; 复古立体音响 ; 복고풍 스테레오 ; hi-fi rétro ; Retro-Anlage ; cadena retro ; stereo rétro ; retrostereo ; радиола
0325 ; FtrMushroomLamp ; mush lamp ; キノコのランプ ; 蘑菇燈 ; 蘑菇灯 ; 버섯 램프 ; lampe champi ; Pilzlampe ; lámpara hongo ; lampada fungo ; paddenstoellamp ; гриб-лампа
0328 ; FtrMushroomTableL ; mush table ; キノコのテーブル ; 蘑菇桌 ; 蘑菇桌 ; 버섯 테이블 ; table champi ; Pilztisch ; mesa hongo ; tavolo fungo ; paddenstoeltafel ; гриб-стол
0340 ; FtrOfficeChair ; modern office chair ; オフィスのチェア ; 辦公室椅子 ; 办公室椅子 ; 사무용 의자 ; fauteuil pro ; Profi-Bürostuhl ; sillón de oficina ; sedia da ufficio ; moderne kantoorstoel ; соврем. офисное кресло
0341 ; FtrLocker ; upright locker ; ロッカー ; 置物櫃 ; 置物柜 ; 캐비닛 ; casier individuel ; Spind ; taquilla de vestuario ; armadietto ; sportkluisje ; шкафчик
0347 ; FtrSafebox ; safe ; きんこ ; 保險箱 ; 保险箱 ; 금고 ; coffre-fort ; Safe ; caja fuerte ; cassaforte ; kluis ; сейф
0348 ; FtrOfficeTable ; office desk ; オフィスのデスク ; 辦公室桌子 ; 办公室桌子 ; 사무용 책상 ; bureau pro ; Bürotisch ; mesa de oficina ; scrivania da ufficio ; kantoorbureau ; офисный стол
0351 ; FtrAmp ; amp ; アンプ ; 擴音器 ; 扩音器 ; 앰프 ; ampli ; Verstärker ; amplificador ; amplificatore ; versterker ; усилитель
035F ; FtrBilliard ; billiard table ; ビリヤードのだい ; 撞球桌 ; 撞球桌 ; 당구대 ; billard ; Billardtisch ; mesa de billar ; tavolo da biliardo ; biljarttafel ; бильярдный стол
0361 ; FtrBirdcage ; birdcage ; とりかご ; 鳥籠 ; 鸟笼 ; 새장 ; cage à oiseau ; Vogelkäfig ; jaula de pájaros ; gabbia ; vogelkooi ; птичья клетка
0366 ; FtrBookstand ; book stands ; ブックスタンド ; 書擋 ; 书挡 ; 북엔드 ; serre-livres ; Buchstütze ; sujetalibros ; coppia di fermalibri ; boekensteunen ; подставки для книг
0379 ; FtrKocher ; camp stove ; コッフェル ; 露營爐具 ; 露营炉具 ; 코펠 ; réchaud de camping ; Campingkocher ; hornillo de acampada ; fornello da campeggio ; campinggasstel ; примус
037B ; FtrCandleXmas ; holiday candle ; クリスマスキャンドル ; 聖誕蠟燭 ; 圣诞蜡烛 ; 크리스마스 양초 ; chandelle de fête ; Festtagsgesteck ; vela festiva ; candela centrotavola ; feestelijke kaars ; праздничная свеча
0380 ; FtrCattower ; cat tower ; キャットタワー ; 貓跳台 ; 猫跳台 ; 캣타워 ; arbre à chat ; Kratzbaum ; torre para gatos ; torre per gatti ; kattenpaal ; башня для кошек
038B ; FtrCleaner ; vacuum cleaner ; そうじき ; 吸塵器 ; 吸尘器 ; 청소기 ; aspirateur ; Staubsauger ; aspiradora ; aspirapolvere ; stofzuiger ; пылесос
038C ; FtrCleanerStick ; upright vacuum ; スティックそうじき ; 直立式吸塵器 ; 直立式吸尘器 ; 스틱 청소기 ; aspirateur balai ; Stabstaubsauger ; aspiradora vertical ; scopa elettrica ; steelstofzuiger ; вертикальный пылесос
0393 ; FtrCuckooclock ; cuckoo clock ; はとどけい ; 布穀鳥鐘 ; 布谷鸟钟 ; 뻐꾸기 시계 ; horloge coucou ; Kuckucksuhr ; reloj de cuco ; orologio a cucù ; koekoeksklok ; часы с кукушкой
0396 ; FtrCoffeecup ; coffee cup ; コーヒーカップ ; 咖啡杯 ; 咖啡杯 ; 커피 잔 ; tasse de café ; Kaffeetasse ; taza de café ; tazza di caffè ; kopje koffie ; чашка кофе
03A0 ; FtrPotrack ; pot rack ; キッチンつるし ; 廚房掛勾 ; 厨房挂钩 ; 주방 도구 걸이 ; porte-casseroles ; Küchenregal ; portacacerolas ; mensola da cucina ; keukenrek ; кухонная полка
03A1 ; FtrAirconditioner ; air conditioner ; エアコン ; 空調 ; 空调 ; 에어컨 ; climatiseur ; Klimaanlage ; aire acondicionado ; condizionatore d'aria ; airconditioner ; кондиционер
03AD ; FtrDJbooth ; DJ's turntable ; DJブース ; DJ台 ; DJ台 ; DJ 테이블 ; platine de DJ ; DJ-Set ; mesa de DJ ; console da DJ ; dj-set ; DJ-проигрыватель
03B6 ; FtrEffectorrack ; effects rack ; エフェクターラック ; 音效機櫃 ; 音效机柜 ; 이펙터 장비 ; sono ; Effekt-Rack ; cajón de efectos ; unità multieffetto ; mixer-versterker ; рэк для аппаратуры
03BA ; FtrEspresso ; espresso maker ; エスプレッソマシン ; 義式咖啡機 ; 意式咖啡机 ; 에스프레소 머신 ; machine à café ; Espressomaschine ; máquina de café ; macchina del caffè ; espressoapparaat ; эспрессо-машина
03BB ; FtrExit ; exit sign ; ひじょうぐち ; 緊急逃生出口 ; 紧急逃生出口 ; 비상구 ; panneau de sortie ; Notausgangsschild ; salida de emergencia ; segnale di uscita ; nooduitgangbord ; указатель выхода
03BD ; FtrExtractorfan ; ventilation fan ; かんきせん ; 換氣扇 ; 换气扇 ; 환풍기 ; aérateur ; Lüftungsventilator ; extractor ; ventola ; inbouwventilator ; вытяжной вентилятор
03CB ; FtrFoodmachine ; snack machine ; おかしのじはんき ; 甜點自動販賣機 ; 甜点自动贩卖机 ; 과자 자동판매기 ; distributeur en-cas ; Verkaufsautomat ; máquina expendedora ; distributore automatico ; snackautomaat ; торговый автомат
03DB ; FtrHarp ; harp ; ハープ ; 豎琴 ; 竖琴 ; 하프 ; harpe ; Harfe ; arpa ; arpa ; harp ; арфа
03E5 ; FtrIncense ; incense burner ; おこう ; 線香盤 ; 线香盘 ; 향 ; porte-encens ; Räucherstäbchen-Set ; quemador de incienso ; brucia incensi ; wierookbrander ; курильница
03E6 ; FtrKitchenIsland ; kitchen island ; アイランドキッチン ; 島式廚房 ; 岛式厨房 ; 아일랜드 키친 ; îlot de cuisine ; Kücheninsel ; isla de cocina ; isola da cucina ; keukeneiland ; кухонный островок
0405 ; FtrScreenJapanLow ; low screen ; ひくいついたて ; 矮屏風 ; 矮屏风 ; 낮은 파티션 ; panneau bas ; Sichtschutz ; cubrechimeneas ; separé basso ; laag scherm ; низкая ширма
0408 ; FtrMagazinerack ; magazine rack ; マガジンラック ; 雜誌架 ; 杂志架 ; 잡지 꽂이 ; porte-revues pliable ; Zeitschriftenablage ; revistero ; portariviste ; tijdschriftenrekje ; стоечка для журналов
0412 ; FtrMetronome ; metronome ; メトロノーム ; 節拍器 ; 节拍器 ; 메트로놈 ; métronome ; Taktmesser ; metrónomo ; metronomo ; metronoom ; метроном
0413 ; FtrMicrowave ; microwave ; でんしレンジ ; 微波爐 ; 微波炉 ; 전자레인지 ; micro-ondes ; Mikrowelle ; microondas ; forno a microonde ; magnetron ; печь СВЧ
041A ; FtrMixer ; mixer ; ミキサー ; 果汁機 ; 果汁机 ; 믹서 ; mixeur ; Mixer ; batidora de vaso ; frullatore ; blender ; блендер
0422 ; FtrMusicstand ; music stand ; ふめんだい ; 樂譜架 ; 乐谱架 ; 보면대 ; pupitre à partition ; Notenständer ; atril para partituras ; leggìo per spartiti ; lessenaar ; пюпитр
0439 ; FtrPianoUpright ; upright piano ; アップライトピアノ ; 直立式鋼琴 ; 直立式钢琴 ; 업라이트 피아노 ; piano droit ; Klavier ; piano de pared ; piano verticale ; piano ; пианино
043A ; FtrPicnicbasket ; picnic basket ; ピクニックバスケット ; 野餐籃 ; 野餐篮 ; 피크닉 가방 ; panier-repas ; Picknick-Korb ; cesta de pícnic ; cestino da picnic ; picknickmand ; корзинка для пикника
043F ; FtrPinball ; pinball machine ; ピンボールだい ; 彈珠台 ; 弹珠台 ; 핀볼 게임기 ; flipper ; Flipper ; máquina de pinball ; flipper ; flipperkast ; пинбол
0444 ; FtrPopcornmachine ; popcorn machine ; ポップコーンマシン ; 爆米花機 ; 爆米花机 ; 팝콘 머신 ; machine à pop-corn ; Popcorn-Maschine ; máquina de palomitas ; macchina per pop-corn ; popcornmachine ; машина для попкорна
044F ; FtrRockingchair ; rocking chair ; ロッキングチェア ; 搖椅 ; 摇椅 ; 흔들의자 ; rocking-chair ; Schaukelstuhl ; mecedora ; sedia a dondolo ; schommelstoel ; кресло-качалка
0457 ; FtrOpenairbath ; outdoor bath ; ろてんぶろ ; 露天池 ; 露天池 ; 노천온천 ; bain extérieur ; Freiluftbad ; baño termal ; bagno termale ; warmwaterbron ; садовый пруд
0458 ; FtrRoulette ; colorful wheel ; ルーレット ; 轉盤 ; 转盘 ; 룰렛 ; roue colorée ; Zahlenrad ; ruleta colorida ; ruota colorata ; kleurenwiel ; разноцветное колесо
045D ; FtrSandcastle ; sand castle ; すなのしろ ; 沙堆城堡 ; 沙堆城堡 ; 모래성 ; château de sable ; Sandburg ; castillo de arena ; castello di sabbia ; zandkasteel ; песочный замок
0465 ; FtrSeasoning ; revolving spice rack ; ちょうみりょういれ ; 調味罐圓盤 ; 调味罐圆盘 ; 조미료 바구니 ; tourniquet à épices ; Gewürzständer ; especiero giratorio ; portaspezie rotante ; kruidenrek ; подставка для специй
0467 ; FtrSewingmachineRetro ; old sewing machine ; ふるいミシン ; 舊式縫紉機 ; 旧式缝纫机 ; 오래된 재봉틀 ; machine à coudre rétro ; Pedalnähmaschine ; máquina de coser antigua ; macchina da cucire antica ; trapnaaimachine ; швейная машина ретро
0468 ; FtrSewingmachine ; sewing machine ; ミシン ; 縫紉機 ; 缝纫机 ; 재봉틀 ; machine à coudre ; Nähmaschine ; máquina de coser ; macchina da cucire ; naaimachine ; швейная машина
0477 ; FtrSmoker ; smoker ; くんせいマシン ; 煙燻爐 ; 烟熏炉 ; 훈제 통 ; fumoir ; Räucherofen ; horno para ahumados ; affumicatore ; rookoven ; коптилка
0485 ; FtrStoneoven ; brick oven ; いしがま ; 窯烤爐 ; 窑烤炉 ; 벽돌 가마 ; four en pierre ; Steinofen ; horno de ladrillo ; forno in mattoni ; stenen oven ; печь
0489 ; FtrSugermilk ; cream and sugar ; シュガー&ミルク ; 糖＆牛奶 ; 糖＆牛奶 ; 슈거&밀크 ; pot de lait et sucre ; Milch- und Zuckerset ; bandeja con leche y azúcar ; latte con zucchero ; melk-en-suikerset ; сахар и сливки
0492 ; FtrSwingWood ; swinging bench ; ベンチブランコ ; 鞦韆椅 ; 秋千椅 ; 벤치 그네 ; balancelle ; Schwingschaukel ; balancín de jardín ; dondolo ; schommelbank ; садовые качели
0493 ; FtrSynthesizer ; synthesizer ; シンセサイザー ; 電子琴 ; 电子琴 ; 신시사이저 ; synthétiseur ; Synthesizer ; sintetizador ; sintetizzatore ; synthesizer ; синтезатор
0499 ; FtrTablesoccer ; foosball table ; テーブルサッカー ; 桌型足球台 ; 桌型足球台 ; 테이블 축구 ; baby-foot ; Kickertisch ; futbolín ; biliardino ; tafelvoetbalspel ; настольный футбол
04A1 ; FtrTelephonebox ; phone box ; でんわボックス ; 電話亭 ; 电话亭 ; 공중전화 부스 ; cabine téléphonique ; Telefonzelle ; cabina telefónica ; cabina del telefono ; telefooncel ; телефонная будка
04A5 ; FtrTyres ; tire stack ; つまれたタイヤ ; 輪胎堆 ; 轮胎堆 ; 쌓인 타이어 ; pile de pneus ; Reifenstapel ; pila de neumáticos ; pila di pneumatici ; stapel autobanden ; стопка покрышек
04AF ; FtrTricycle ; tricycle ; さんりんしゃ ; 三輪車 ; 三轮车 ; 세발자전거 ; tricycle ; Dreirad ; triciclo ; triciclo ; driewieler ; велосипедик
04BB ; FtrTypewriter ; typewriter ; タイプライター ; 打字機 ; 打字机 ; 타자기 ; machine à écrire ; Schreibmaschine ; máquina de escribir ; macchina da scrivere ; typemachine ; пишущая машинка
04C5 ; FtrVideocamera ; video camera ; ビデオカメラ ; 攝影機 ; 摄影机 ; 비디오카메라 ; caméscope ; Videokamera ; cámara de vídeo ; videocamera ; videocamera ; видеокамера
04CB ; FtrWashingmachineDrum ; deluxe washer ; ドラムしきせんたくき ; 滾筒式洗衣機 ; 滚筒式洗衣机 ; 드럼 세탁기 ; lave-linge d'expert ; Profi-Waschmaschine ; lavadora ; lavatrice deluxe ; luxe wasmachine ; стир. машина люкс
04CD ; FtrWashstand ; bathroom sink ; せんめんだい ; 洗臉台 ; 洗脸台 ; 세면대 ; meuble lavabo ; Waschbecken ; lavabo ; lavandino da bagno ; wasbak ; раковина
04D0 ; FtrWaterserver ; water cooler ; ウォーターサーバー ; 桶裝飲水機 ; 桶装饮水机 ; 정수기 ; fontaine à eau ; Wasserspender ; surtidor de agua ; distributore d'acqua ; waterkoeler ; кулер
04D2 ; FtrWCPortable ; portable toilet ; かせつトイレ ; 流動廁所 ; 流动厕所 ; 이동식 화장실 ; cabine de WC mobile ; Toilettenhäuschen ; retrete portátil ; bagno chimico ; mobiele toiletcabine ; туалетная кабинка
04D9 ; FtrWorkbench ; DIY workbench ; DIYさぎょうだい ; ＤＩＹ作業台 ; DIY作业台 ; DIY 작업대 ; établi ; Werkbank ; banco de bricolaje ; banco da lavoro ; werkbank ; верстак для поделок
04DB ; FtrWreath ; flashy-flower sign ; はなわ ; 花環 ; 花环 ; 화환 ; panneau fleuri ; Blumengesteck ; cartel florido ; decorazione inaugurale ; bloemenbord ; яркий знак-цветок
04EF ; FtrFruitsClosetLR ; pear wardrobe ; ナシのクロゼット ; 梨子衣櫃 ; 梨子衣柜 ; 배 옷장 ; armoire poire ; Birnenschrank ; armario pera ; armadio pera ; perenkast ; шкаф-груша
0508 ; FtrPlantYamadoriyashi ; fan palm ; ヤマドリヤシ ; 黃椰子 ; 黄椰子 ; 아레카야자 ; palmier d'Arec ; Fächerpalme ; palmera ; palma cinese ; dypsis ; веерная пальма
051C ; FtrSchoolChairS ; school chair ; がっこうのイス ; 學校椅子 ; 课椅 ; 학교 의자 ; chaise d'écolier ; Schulstuhl ; silla escolar ; sedia da scuola ; schoolstoel ; ученический стул
0527 ; FtrMicroscope ; microscope ; けんびきょう ; 顯微鏡 ; 显微镜 ; 현미경 ; microscope ; Mikroskop ; microscopio ; microscopio ; microscoop ; микроскоп
0530 ; FtrSchoolTableS ; school desk ; がっこうのつくえ ; 學校桌子 ; 课桌 ; 학교 책상 ; pupitre ; Schultisch ; mesa escolar ; banco di scuola ; schoolbureau ; парта
0532 ; FtrSchoolTeachertable ; basic teacher's desk ; きょうたく ; 講桌 ; 讲台 ; 교탁 ; bureau du prof ; Schulpult ; mesa de maestro ; cattedra da professore ; lerarenbureau ; учительский стол
0544 ; FtrHamstercage ; hamster cage ; ハムスターのかご ; 倉鼠籠 ; 仓鼠笼 ; 햄스터 철장 ; cage à hamster ; Hamsterkäfig ; jaula de hámster ; gabbia per criceti ; hamsterkooi ; клетка для хомяка
0583 ; FtrGlobe ; globe ; ちきゅうぎ ; 地球儀 ; 地球仪 ; 지구의 ; globe terrestre ; Globus ; globo terráqueo ; mappamondo ; globe ; глобус
0584 ; FtrCameraTV ; TV camera ; テレビカメラ ; 攝影棚錄影機 ; 摄影棚录影机 ; TV 카메라 ; caméra de télévision ; Fernsehkamera ; cámara de televisión ; telecamera da TV ; tv-camera ; телекамера
0598 ; FtrLantern ; lantern ; ランタン ; 油燈 ; 油灯 ; 랜턴 ; lanterne ; Laterne ; farol ; lanterna ; lantaarn ; фонарь
059A ; FtrSleepingbag ; sleeping bag ; シュラフ ; 睡袋 ; 睡袋 ; 침낭 ; sac de couchage ; Schlafsack ; saco de dormir ; sacco a pelo ; slaapzak ; спальный мешок
05A9 ; FtrCello ; cello ; チェロ ; 大提琴 ; 大提琴 ; 첼로 ; violoncelle ; Cello ; violonchelo ; violoncello ; cello ; виолончель
05D7 ; FtrDoll ; dolly ; おにんぎょう ; 洋娃娃 ; 洋娃娃 ; 인형 ; poupée ; Püppchen ; muñeca ; bambolina ; pop ; кукла
05DB ; FtrBearL ; Papa bear ; くまのダイちゃん ; 大熊熊 ; 大熊熊 ; 큰 곰인형 ; papa ours ; Papa-Bär ; papá oso ; papà orso ; papabeer ; папа-медведь
05DC ; FtrBearM ; Mama bear ; くまのナミちゃん ; 中熊熊 ; 中熊熊 ; 중간 곰인형 ; maman ours ; Mama-Bär ; mamá oso ; mamma orsa ; mamabeer ; мама-медведица
05DD ; FtrBearS ; Baby bear ; くまのチビちゃん ; 小熊熊 ; 小熊熊 ; 작은 곰인형 ; bébé ours ; Baby-Bär ; osito ; orsetto ; babybeer ; медвежонок
05E0 ; FtrBearXL ; giant teddy bear ; くまのトクダイちゃん ; 特大熊熊 ; 特大熊熊 ; 특대 곰인형 ; nounours géant ; Riesenteddy ; papá oso gigante ; orsacchiotto gigante ; reuzenteddybeer ; огромный мишка
05E3 ; FtrTurncup ; teacup ride ; まわるコーヒーカップ ; 旋轉咖啡杯 ; 旋转咖啡杯 ; 빙글빙글 커피 잔 ; manège tasses à café ; Drehkaffeetasse ; atracción tazas giratorias ; giostra tazze da caffè ; theekopcarrousel ; карусель-чашки
05E5 ; FtrHerorobot ; robot hero ; ヒーローロボ ; 英雄機器人 ; 英雄机器人 ; 히어로 로봇 ; robot géant ; Heldenroboter ; robot gigante ; eroe robot ; robotheld ; робот-герой
0615 ; FtrBlockBedS ; wooden-block bed ; つみきベッド ; 積木床鋪 ; 积木床铺 ; 나무블록 침대 ; lit blocs de bois ; Bauklotzbett ; cama construcciones ; letto blocchi di legno ; houtblokbed ; кровать из дерев. блоков
0616 ; FtrBlockShelf ; wooden-block bookshelf ; つみきブックシェルフ ; 積木書櫃 ; 积木书柜 ; 나무블록 북 쉘프 ; bibliothèque blocs de bois ; Bauklotzbücherregal ; estantería construcciones ; libreria blocchi di legno ; houtblokboekenkast ; стеллаж из дерев. блоков
0617 ; FtrBlockChairL ; wooden-block bench ; つみきベンチ ; 積木長椅 ; 积木长凳 ; 나무블록 벤치 ; banc blocs de bois ; Bauklotzbank ; banco construcciones ; panca blocchi di legno ; houtblokbank ; лавка из дерев. блоков
0619 ; FtrBlockChest ; wooden-block chest ; つみきチェスト ; 積木矮櫃 ; 积木矮柜 ; 나무블록 수납장 ; commode blocs de bois ; Bauklotzkommode ; cómoda construcciones ; comò blocchi di legno ; houtblokladekast ; комод из дерев. блоков
061D ; FtrBlockTableL ; wooden-block table ; つみきテーブル ; 積木桌 ; 积木桌 ; 나무블록 테이블 ; table blocs de bois ; Bauklotztisch ; mesa construcciones ; tavolo blocchi di legno ; houtbloktafel ; стол из дерев. блоков
061F ; FtrDrumcan ; oil barrel ; ドラムかん ; 汽油桶 ; 汽油桶 ; 드럼통 ; baril de pétrole ; Ölfass ; barril de petróleo ; fusto di petrolio ; olievat ; нефтяная бочка
063E ; FtrBalanceball ; exercise ball ; バランスボール ; 瑜伽球 ; 瑜伽球 ; 짐 볼 ; ballon de gymnastique ; Gymnastikball ; pelota de ejercicios ; palla da pilates ; gymnastiekbal ; фитбол
